DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
10/15/2015,23:20,,,40.699861,-73.9845744,"(40.699861, -73.9845744)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3316506,PICK-UP TRUCK,PASSENGER VEHICLE,,,
10/15/2015,23:20,MANHATTAN,10023,40.7786073,-73.9816215,"(40.7786073, -73.9816215)",WEST 72 STREET,AMSTERDAM AVENUE,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3316793,PASSENGER VEHICLE,TAXI,,,
10/15/2015,23:18,MANHATTAN,10019,40.7635447,-73.9851922,"(40.7635447, -73.9851922)",WEST 52 STREET,8 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3316232,LIVERY VEHICLE,PEDICAB,,,
10/15/2015,23:10,MANHATTAN,10019,40.7604566,-73.983731,"(40.7604566, -73.983731)",WEST 49 STREET,7 AVENUE,,0,0,0,0,0,0,0,0,Oversized Vehicle,Unspecified,,,,3317997,VAN,PASSENGER VEHICLE,,,
10/15/2015,23:10,BROOKLYN,11219,40.6259834,-74.0015202,"(40.6259834, -74.0015202)",65 STREET,13 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3316423,SPORT UTILITY / STATION WAGON,UNKNOWN,,,
10/15/2015,23:09,MANHATTAN,10017,40.7572855,-73.9781153,"(40.7572855, -73.9781153)",5 AVENUE,WEST 48 STREET,,0,0,0,0,0,0,0,0,Other Vehicular,Driver Inattention/Distraction,,,,3317361,TAXI,LIVERY VEHICLE,,,
10/15/2015,23:05,BRONX,10453,40.8618642,-73.9127392,"(40.8618642, -73.9127392)",WEST FORDHAM ROAD,MAJOR DEEGAN EXPRESSWAY,,1,0,1,0,0,0,0,0,Unspecified,,,,,3316390,UNKNOWN,,,,
10/15/2015,23:05,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3316451,TAXI,TAXI,,,
10/15/2015,23:05,,,,,,,,,0,0,0,0,0,0,0,0,Fatigued/Drowsy,Unspecified,,,,3316629,SPORT UTILITY / STATION WAGON,TAXI,,,
10/15/2015,23:00,QUEENS,11370,40.766359,-73.8875543,"(40.766359, -73.8875543)",23 AVENUE,82 STREET,,1,0,1,0,0,0,0,0,Unspecified,Unspecified,,,,3317854,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/15/2015,23:00,,,,,,,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3318128,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
10/15/2015,23:00,,,40.5945547,-73.997568,"(40.5945547, -73.997568)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3316402,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/15/2015,23:00,BROOKLYN,11230,40.6143692,-73.9709549,"(40.6143692, -73.9709549)",AVENUE N,EAST 4 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3316973,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
10/15/2015,22:56,QUEENS,11370,40.7646768,-73.8851276,"(40.7646768, -73.8851276)",ASTORIA BOULEVARD,84 STREET,,1,0,1,0,0,0,0,0,Unspecified,,,,,3317872,PASSENGER VEHICLE,,,,
10/15/2015,22:50,,,40.672888,-73.9992169,"(40.672888, -73.9992169)",,,,1,0,0,0,0,0,1,0,Failure to Yield Right-of-Way,Unspecified,Unspecified,,,3317040,PASSENGER VEHICLE,UNKNOWN,PASSENGER VEHICLE,,
10/15/2015,22:50,,,,,,,,,0,0,0,0,0,0,0,0,Alcohol Involvement,,,,,3316664,PASSENGER VEHICLE,,,,
